CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Tiền Và Tương Đương Tiền,Q2 2022,0.78,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2022,0.00,PIV
Các Khoản Phải Thu,Q2 2022,0.15,PIV
"Hàng Tồn Kho, Ròng",Q2 2022,0.00,PIV
Tài Sản Lưu Động Khác,Q2 2022,0.19,PIV
TÀI SẢN DÀI HẠN,Q2 2022,156.78,PIV
Phải Thu Dài Hạn,Q2 2022,0.00,PIV
Tài Sản Cố Định,Q2 2022,0.18,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2022,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q2 2022,0.00,PIV
Đầu Tư Dài Hạn,Q2 2022,156.60,PIV
Tài Sản Dài Hạn Khác,Q2 2022,0.00,PIV
NỢ PHẢI TRẢ,Q2 2022,7.02,PIV
Nợ Ngắn Hạn,Q2 2022,7.02,PIV
Nợ Dài Hạn,Q2 2022,0.00,PIV
VỐN CHỦ SỞ HỮU,Q2 2022,150.88,PIV
Vốn Và Các Quỹ,Q2 2022,150.88,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2022,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2022,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q2 2022,157.91,PIV
TỔNG TÀI SẢN,Q3 2022,157.76,PIV
TÀI SẢN NGẮN HẠN,Q3 2022,0.98,PIV
Tiền Và Tương Đương Tiền,Q3 2022,0.61,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2022,0.00,PIV
Các Khoản Phải Thu,Q3 2022,0.18,PIV
"Hàng Tồn Kho, Ròng",Q3 2022,0.00,PIV
Tài Sản Lưu Động Khác,Q3 2022,0.19,PIV
TÀI SẢN DÀI HẠN,Q3 2022,156.78,PIV
Phải Thu Dài Hạn,Q3 2022,0.00,PIV
Tài Sản Cố Định,Q3 2022,0.18,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2022,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q3 2022,0.00,PIV
Đầu Tư Dài Hạn,Q3 2022,156.60,PIV
Tài Sản Dài Hạn Khác,Q3 2022,0.00,PIV
NỢ PHẢI TRẢ,Q3 2022,7.04,PIV
Nợ Ngắn Hạn,Q3 2022,7.04,PIV
Nợ Dài Hạn,Q3 2022,0.00,PIV
VỐN CHỦ SỞ HỮU,Q3 2022,150.72,PIV
Vốn Và Các Quỹ,Q3 2022,150.72,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2022,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2022,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q3 2022,157.76,PIV
TỔNG TÀI SẢN,Q4 2022,15.42,PIV
TÀI SẢN NGẮN HẠN,Q4 2022,15.42,PIV
Tiền Và Tương Đương Tiền,Q4 2022,0.35,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q4 2022,14.53,PIV
Các Khoản Phải Thu,Q4 2022,0.33,PIV
"Hàng Tồn Kho, Ròng",Q4 2022,0.00,PIV
Tài Sản Lưu Động Khác,Q4 2022,0.21,PIV
TÀI SẢN DÀI HẠN,Q4 2022,0.00,PIV
Phải Thu Dài Hạn,Q4 2022,0.00,PIV
Tài Sản Cố Định,Q4 2022,0.00,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q4 2022,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q4 2022,0.00,PIV
Đầu Tư Dài Hạn,Q4 2022,0.00,PIV
Tài Sản Dài Hạn Khác,Q4 2022,0.00,PIV
NỢ PHẢI TRẢ,Q4 2022,7.07,PIV
Nợ Ngắn Hạn,Q4 2022,7.07,PIV
Nợ Dài Hạn,Q4 2022,0.00,PIV
VỐN CHỦ SỞ HỮU,Q4 2022,8.35,PIV
