CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Tài Sản Lưu Động Khác,Q3 2023,126.28,PLA
TÀI SẢN DÀI HẠN,Q3 2023,"3,440.81",PLA
Phải Thu Dài Hạn,Q3 2023,0.00,PLA
Tài Sản Cố Định,Q3 2023,276.97,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2023,238.43,PLA
Tài Sản Dở Dang Dài Hạn,Q3 2023,31.57,PLA
Đầu Tư Dài Hạn,Q3 2023,"2,764.66",PLA
Tài Sản Dài Hạn Khác,Q3 2023,129.18,PLA
NỢ PHẢI TRẢ,Q3 2023,"32,574.70",PLA
Nợ Ngắn Hạn,Q3 2023,"32,516.70",PLA
Nợ Dài Hạn,Q3 2023,58.00,PLA
VỐN CHỦ SỞ HỮU,Q3 2023,"22,707.75",PLA
Vốn Và Các Quỹ,Q3 2023,"22,707.75",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2023,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2023,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q3 2023,"55,282.45",PLA
TỔNG TÀI SẢN,Q4 2023,"69,241.33",PLA
TÀI SẢN NGẮN HẠN,Q4 2023,"65,755.29",PLA
Tiền Và Tương Đương Tiền,Q4 2023,493.91,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q4 2023,"64,562.25",PLA
Các Khoản Phải Thu,Q4 2023,603.12,PLA
"Hàng Tồn Kho, Ròng",Q4 2023,0.00,PLA
Tài Sản Lưu Động Khác,Q4 2023,96.02,PLA
TÀI SẢN DÀI HẠN,Q4 2023,"3,486.04",PLA
Phải Thu Dài Hạn,Q4 2023,0.00,PLA
Tài Sản Cố Định,Q4 2023,269.48,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q4 2023,235.72,PLA
Tài Sản Dở Dang Dài Hạn,Q4 2023,32.11,PLA
Đầu Tư Dài Hạn,Q4 2023,"2,821.24",PLA
Tài Sản Dài Hạn Khác,Q4 2023,127.49,PLA
NỢ PHẢI TRẢ,Q4 2023,"46,000.43",PLA
Nợ Ngắn Hạn,Q4 2023,"45,939.12",PLA
Nợ Dài Hạn,Q4 2023,61.32,PLA
VỐN CHỦ SỞ HỮU,Q4 2023,"23,240.89",PLA
Vốn Và Các Quỹ,Q4 2023,"23,240.89",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q4 2023,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q4 2023,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q4 2023,"69,241.33",PLA
TỔNG TÀI SẢN,Q1 2024,"65,488.32",PLA
TÀI SẢN NGẮN HẠN,Q1 2024,"61,957.60",PLA
Tiền Và Tương Đương Tiền,Q1 2024,155.04,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2024,"60,997.21",PLA
Các Khoản Phải Thu,Q1 2024,676.37,PLA
