CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2017,-0.69,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2017,0.61,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2017,0.36,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2017,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2017,0.97,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2018,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2018,-46.61,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2018,0.48,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2018,0.27,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2018,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2018,0.76,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2018,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2018,15.92,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2018,-0.25,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2018,0.76,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2018,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2018,0.51,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2018,-0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2018,-46.30,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2018,1.87,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2018,0.51,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2018,-0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2018,2.37,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2018,-19.99,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2018,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2018,-2.17,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2018,2.37,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2018,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2018,0.21,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2019,-68.94,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2019,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2019,1.41,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2019,0.20,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2019,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2019,1.61,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2019,-12.11,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2019,1.05,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2019,-1.36,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2019,1.61,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2019,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2019,0.25,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2019,0.01,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2019,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2019,-0.16,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2019,0.25,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2019,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2019,0.10,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2019,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2019,-1.05,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2019,1.46,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2019,0.10,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2019,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2019,1.55,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2020,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2020,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2020,-0.08,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2020,1.55,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2020,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2020,1.47,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2020,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2020,24.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2020,-0.88,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2020,1.47,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2020,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2020,0.59,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2020,-0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2020,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2020,-0.10,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2020,0.59,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2020,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2020,0.49,PIV
