CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Doanh Số,Q1 2016,5.34,PLA
Các Khoản Giảm Trừ,Q1 2016,-0.09,PLA
Doanh Số Thuần,Q1 2016,5.25,PLA
Giá Vốn Hàng Bán,Q1 2016,-4.66,PLA
Lãi Gộp,Q1 2016,0.59,PLA
Thu Nhập Tài Chính,Q1 2016,1.79,PLA
Chi Phí Tài Chính,Q1 2016,-0.07,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q1 2016,0.01,PLA
Chi Phí Bán Hàng,Q1 2016,-0.18,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q1 2016,-5.50,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q1 2016,-3.36,PLA
"Thu Nhập Khác, Ròng",Q1 2016,0.23,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q1 2016,0.00,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q1 2016,-3.13,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q1 2016,-0.01,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q1 2016,-3.14,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q1 2016,0.22,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q1 2016,-3.35,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q1 2016,-168,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q1 2016,0,PLA
EBITDA,Q1 2016,-4.90,PLA
Doanh Số,Q2 2016,4.84,PLA
Các Khoản Giảm Trừ,Q2 2016,0.00,PLA
Doanh Số Thuần,Q2 2016,4.84,PLA
Giá Vốn Hàng Bán,Q2 2016,-4.09,PLA
Lãi Gộp,Q2 2016,0.75,PLA
Thu Nhập Tài Chính,Q2 2016,1.86,PLA
Chi Phí Tài Chính,Q2 2016,0.05,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q2 2016,-0.02,PLA
Chi Phí Bán Hàng,Q2 2016,-0.17,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q2 2016,-2.03,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q2 2016,0.44,PLA
"Thu Nhập Khác, Ròng",Q2 2016,-1.37,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q2 2016,0.00,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q2 2016,-0.93,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q2 2016,-0.01,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q2 2016,-0.93,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q2 2016,-0.35,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q2 2016,-0.59,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q2 2016,-29,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q2 2016,0,PLA
EBITDA,Q2 2016,-1.26,PLA
Doanh Số,Q3 2016,1.54,PLA
Các Khoản Giảm Trừ,Q3 2016,0.00,PLA
Doanh Số Thuần,Q3 2016,1.54,PLA
Giá Vốn Hàng Bán,Q3 2016,-0.97,PLA
Lãi Gộp,Q3 2016,0.57,PLA
Thu Nhập Tài Chính,Q3 2016,3.38,PLA
Chi Phí Tài Chính,Q3 2016,-0.11,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2016,0.03,PLA
Chi Phí Bán Hàng,Q3 2016,-0.05,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q3 2016,-1.47,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2016,2.35,PLA
"Thu Nhập Khác, Ròng",Q3 2016,-0.46,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2016,0.00,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2016,1.89,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2016,0.01,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2016,1.90,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2016,0.17,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2016,1.72,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2016,86,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2016,0,PLA
EBITDA,Q3 2016,-0.87,PLA
Doanh Số,Q4 2016,2.23,PLA
Các Khoản Giảm Trừ,Q4 2016,0.00,PLA
Doanh Số Thuần,Q4 2016,2.23,PLA
Giá Vốn Hàng Bán,Q4 2016,-1.33,PLA
Lãi Gộp,Q4 2016,0.90,PLA
Thu Nhập Tài Chính,Q4 2016,1.61,PLA
Chi Phí Tài Chính,Q4 2016,-0.79,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q4 2016,-0.01,PLA
Chi Phí Bán Hàng,Q4 2016,-0.21,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q4 2016,-2.95,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q4 2016,-1.46,PLA
"Thu Nhập Khác, Ròng",Q4 2016,-0.09,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q4 2016,0.00,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q4 2016,-1.55,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q4 2016,3.27,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q4 2016,1.72,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q4 2016,-0.30,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q4 2016,2.02,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q4 2016,101,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q4 2016,0,PLA
EBITDA,Q4 2016,-2.10,PLA
Doanh Số,Q1 2017,7.43,PLA
Các Khoản Giảm Trừ,Q1 2017,0.00,PLA
Doanh Số Thuần,Q1 2017,7.43,PLA
Giá Vốn Hàng Bán,Q1 2017,-6.18,PLA
Lãi Gộp,Q1 2017,1.25,PLA
Thu Nhập Tài Chính,Q1 2017,0.42,PLA
Chi Phí Tài Chính,Q1 2017,0.42,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q1 2017,0.02,PLA
Chi Phí Bán Hàng,Q1 2017,-0.11,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q1 2017,-2.13,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q1 2017,-0.13,PLA
"Thu Nhập Khác, Ròng",Q1 2017,-0.20,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q1 2017,0.00,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q1 2017,-0.33,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q1 2017,-0.03,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q1 2017,-0.37,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q1 2017,0.06,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q1 2017,-0.43,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q1 2017,-43,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q1 2017,0,PLA
EBITDA,Q1 2017,-0.88,PLA
Doanh Số,Q2 2017,7.26,PLA
Các Khoản Giảm Trừ,Q2 2017,0.00,PLA
Doanh Số Thuần,Q2 2017,7.26,PLA
Giá Vốn Hàng Bán,Q2 2017,-7.05,PLA
Lãi Gộp,Q2 2017,0.21,PLA
Thu Nhập Tài Chính,Q2 2017,0.18,PLA
Chi Phí Tài Chính,Q2 2017,0.08,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q2 2017,-0.02,PLA
Chi Phí Bán Hàng,Q2 2017,0.11,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q2 2017,-1.45,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q2 2017,-0.90,PLA
"Thu Nhập Khác, Ròng",Q2 2017,0.00,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q2 2017,0.00,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q2 2017,-0.90,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q2 2017,-0.04,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q2 2017,-0.94,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q2 2017,0.07,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q2 2017,-1.01,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q2 2017,-101,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q2 2017,0,PLA
EBITDA,Q2 2017,-1.07,PLA
Doanh Số,Q3 2017,3.11,PLA
Các Khoản Giảm Trừ,Q3 2017,0.00,PLA
Doanh Số Thuần,Q3 2017,3.11,PLA
Giá Vốn Hàng Bán,Q3 2017,-1.96,PLA
Lãi Gộp,Q3 2017,1.14,PLA
Thu Nhập Tài Chính,Q3 2017,0.15,PLA
Chi Phí Tài Chính,Q3 2017,0.29,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2017,0.03,PLA
Chi Phí Bán Hàng,Q3 2017,0.00,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q3 2017,-1.24,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2017,0.37,PLA
"Thu Nhập Khác, Ròng",Q3 2017,-0.02,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2017,0.00,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2017,0.35,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2017,-0.04,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2017,0.31,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2017,0.07,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2017,0.24,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2017,24,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2017,0,PLA
EBITDA,Q3 2017,-0.03,PLA
Doanh Số,Q4 2017,4.54,PLA
Các Khoản Giảm Trừ,Q4 2017,0.00,PLA
Doanh Số Thuần,Q4 2017,4.54,PLA
Giá Vốn Hàng Bán,Q4 2017,-2.86,PLA
Lãi Gộp,Q4 2017,1.69,PLA
Thu Nhập Tài Chính,Q4 2017,0.32,PLA
Chi Phí Tài Chính,Q4 2017,0.13,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q4 2017,-0.02,PLA
Chi Phí Bán Hàng,Q4 2017,-0.10,PLA
Chi Phí Quản Lý Doanh Nghiệp,Q4 2017,-2.42,PLA
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q4 2017,-0.40,PLA
"Thu Nhập Khác, Ròng",Q4 2017,-0.01,PLA
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q4 2017,0.00,PLA
Lãi/(Lỗ) Ròng Trước Thuế,Q4 2017,-0.41,PLA
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q4 2017,-0.11,PLA
Lãi/(Lỗ) Thuần Sau Thuế,Q4 2017,-0.52,PLA
Lợi Ích Của Cổ Đông Thiểu Số,Q4 2017,0.09,PLA
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q4 2017,-0.62,PLA
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q4 2017,-62,PLA
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q4 2017,0,PLA
EBITDA,Q4 2017,-0.78,PLA
Doanh Số,Q2 2014,8.74,PLA
Các Khoản Giảm Trừ,Q2 2014,0.00,PLA
Doanh Số Thuần,Q2 2014,8.74,PLA
Giá Vốn Hàng Bán,Q2 2014,-8.06,PLA
Lãi Gộp,Q2 2014,0.68,PLA
Thu Nhập Tài Chính,Q2 2014,1.28,PLA
Chi Phí Tài Chính,Q2 2014,-0.08,PLA
