CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Nợ Dài Hạn,Q2 2023,"1,114.39",AGG
VỐN CHỦ SỞ HỮU,Q2 2023,"2,870.86",AGG
Vốn Và Các Quỹ,Q2 2023,"2,870.86",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2023,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2023,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q2 2023,"9,609.04",AGG
TỔNG TÀI SẢN,Q3 2023,"8,457.20",AGG
TÀI SẢN NGẮN HẠN,Q3 2023,"7,634.89",AGG
Tiền Và Tương Đương Tiền,Q3 2023,258.18,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2023,45.02,AGG
Các Khoản Phải Thu,Q3 2023,"4,953.49",AGG
"Hàng Tồn Kho, Ròng",Q3 2023,"2,164.94",AGG
Tài Sản Lưu Động Khác,Q3 2023,213.26,AGG
TÀI SẢN DÀI HẠN,Q3 2023,822.31,AGG
Phải Thu Dài Hạn,Q3 2023,577.72,AGG
Tài Sản Cố Định,Q3 2023,16.66,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2023,17.53,AGG
Tài Sản Dở Dang Dài Hạn,Q3 2023,14.22,AGG
Đầu Tư Dài Hạn,Q3 2023,96.15,AGG
Tài Sản Dài Hạn Khác,Q3 2023,100.02,AGG
NỢ PHẢI TRẢ,Q3 2023,"5,436.92",AGG
Nợ Ngắn Hạn,Q3 2023,"4,616.80",AGG
Nợ Dài Hạn,Q3 2023,820.12,AGG
VỐN CHỦ SỞ HỮU,Q3 2023,"3,020.28",AGG
Vốn Và Các Quỹ,Q3 2023,"3,020.28",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2023,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2023,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q3 2023,"8,457.20",AGG
TỔNG TÀI SẢN,Q4 2023,"9,293.40",AGG
TÀI SẢN NGẮN HẠN,Q4 2023,"8,233.24",AGG
Tiền Và Tương Đương Tiền,Q4 2023,772.41,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q4 2023,54.53,AGG
Các Khoản Phải Thu,Q4 2023,"5,125.78",AGG
"Hàng Tồn Kho, Ròng",Q4 2023,"2,014.48",AGG
Tài Sản Lưu Động Khác,Q4 2023,266.05,AGG
TÀI SẢN DÀI HẠN,Q4 2023,"1,060.15",AGG
Phải Thu Dài Hạn,Q4 2023,799.77,AGG
Tài Sản Cố Định,Q4 2023,29.90,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q4 2023,40.65,AGG
Tài Sản Dở Dang Dài Hạn,Q4 2023,0.00,AGG
Đầu Tư Dài Hạn,Q4 2023,89.42,AGG
Tài Sản Dài Hạn Khác,Q4 2023,100.41,AGG
NỢ PHẢI TRẢ,Q4 2023,"6,417.28",AGG
Nợ Ngắn Hạn,Q4 2023,"5,284.70",AGG
Nợ Dài Hạn,Q4 2023,"1,132.58",AGG
VỐN CHỦ SỞ HỮU,Q4 2023,"2,876.12",AGG
Vốn Và Các Quỹ,Q4 2023,"2,876.12",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q4 2023,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q4 2023,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q4 2023,"9,293.40",AGG
TỔNG TÀI SẢN,Q1 2024,"8,481.66",AGG
TÀI SẢN NGẮN HẠN,Q1 2024,"7,464.19",AGG
Tiền Và Tương Đương Tiền,Q1 2024,96.94,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2024,70.35,AGG
Các Khoản Phải Thu,Q1 2024,"5,927.71",AGG
"Hàng Tồn Kho, Ròng",Q1 2024,"1,228.69",AGG
Tài Sản Lưu Động Khác,Q1 2024,140.51,AGG
TÀI SẢN DÀI HẠN,Q1 2024,"1,017.47",AGG
Phải Thu Dài Hạn,Q1 2024,753.40,AGG
Tài Sản Cố Định,Q1 2024,27.61,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2024,44.77,AGG
Tài Sản Dở Dang Dài Hạn,Q1 2024,0.19,AGG
Đầu Tư Dài Hạn,Q1 2024,89.42,AGG
Tài Sản Dài Hạn Khác,Q1 2024,102.07,AGG
NỢ PHẢI TRẢ,Q1 2024,"5,391.37",AGG
Nợ Ngắn Hạn,Q1 2024,"4,280.43",AGG
Nợ Dài Hạn,Q1 2024,"1,110.94",AGG
VỐN CHỦ SỞ HỮU,Q1 2024,"3,090.29",AGG
Vốn Và Các Quỹ,Q1 2024,"3,090.29",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2024,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2024,0.00,AGG
