CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q4 2022,-6.56,AGG
"Thu Nhập Khác, Ròng",Q4 2022,4.37,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q4 2022,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q4 2022,-2.19,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q4 2022,-100.76,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q4 2022,-102.95,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q4 2022,82.68,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q4 2022,-185.63,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q4 2022,-2243,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q4 2022,-2243,AGG
EBITDA,Q4 2022,234.10,AGG
Các Khoản Giảm Trừ,Q1 2023,0.00,AGG
Doanh Số Thuần,Q1 2023,189.45,AGG
Giá Vốn Hàng Bán,Q1 2023,-145.26,AGG
Lãi Gộp,Q1 2023,44.19,AGG
Thu Nhập Tài Chính,Q1 2023,98.14,AGG
Chi Phí Tài Chính,Q1 2023,-57.80,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q1 2023,-23.18,AGG
Chi Phí Bán Hàng,Q1 2023,-21.88,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q1 2023,-14.64,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q1 2023,24.83,AGG
"Thu Nhập Khác, Ròng",Q1 2023,10.92,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q1 2023,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q1 2023,35.75,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q1 2023,-23.41,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q1 2023,12.34,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q1 2023,7.72,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q1 2023,4.62,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q1 2023,37,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q1 2023,37,AGG
EBITDA,Q1 2023,8.90,AGG
Các Khoản Giảm Trừ,Q2 2023,0.00,AGG
Doanh Số Thuần,Q2 2023,"1,676.40",AGG
Giá Vốn Hàng Bán,Q2 2023,"-1,287.16",AGG
Lãi Gộp,Q2 2023,389.24,AGG
Thu Nhập Tài Chính,Q2 2023,81.36,AGG
Chi Phí Tài Chính,Q2 2023,-40.93,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q2 2023,-21.99,AGG
Chi Phí Bán Hàng,Q2 2023,-255.22,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q2 2023,-11.65,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q2 2023,140.82,AGG
"Thu Nhập Khác, Ròng",Q2 2023,20.28,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q2 2023,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q2 2023,161.10,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q2 2023,-28.16,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q2 2023,132.94,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q2 2023,56.55,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q2 2023,76.39,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q2 2023,610,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q2 2023,610,AGG
EBITDA,Q2 2023,123.56,AGG
Các Khoản Giảm Trừ,Q3 2023,0.00,AGG
Doanh Số Thuần,Q3 2023,"1,848.62",AGG
