Tên công ty,Mã SIC,Tên ngành,Mã ngành ICB,Năm thành lập,Vốn điều lệ,Số lượng nhân viên,Số lượng chi nhánh,Ngày niêm yết,Nơi niêm yết,Giá chào sàn (x1000),KL đang niêm yết,Thị giá vốn,SLCP lưu hành
Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư,FLC,Bất động sản,8633,17/03/2008,"7,099.98 Tỷ",510,0,05/10/2011,Upcom,3.50,"709,997,807","2,484.99 Tỷ","709,997,807"
Công ty Cổ phần Tập đoàn FLC,TCH,Bất động sản,8633,25/12/2007,"6,682.16 Tỷ",239,0,05/10/2016,HOSE,15.00,"668,215,843","10,223.70 Tỷ","668,215,843"
Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,HU6,Bất động sản,8633,11/08/2014,75.00 Tỷ,29,0,19/11/2015,Upcom,11.50,"7,500,000",41.25 Tỷ,"7,500,000"
Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD6,HTN,Bất động sản,8633,28/08/2010,891.16 Tỷ,278,0,12/11/2018,HOSE,23.30,"89,116,411",690.65 Tỷ,"89,116,411"
Công ty Cổ phần Hưng Thịnh Incons,DXS,Bất động sản,8637,21/07/2011,"5,741.03 Tỷ","2,252",0,15/07/2021,HOSE,28.50,"579,103,124","4,383.81 Tỷ","579,103,124"
Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DIG,Bất động sản,8633,13/03/2008,"6,098.52 Tỷ","1,789",0,19/08/2009,HOSE,0.00,"609,851,995","12,319.01 Tỷ","609,851,995"
Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,SSH,Bất động sản,8633,09/03/2015,"3,750.00 Tỷ",166,0,04/08/2021,Upcom,21.60,"375,000,000","24,993.75 Tỷ","375,000,000"
Công ty Cổ phần Phát triển Sunshine Homes,IDJ,Bất động sản,8633,15/03/2007,"1,734.90 Tỷ",110,0,13/09/2010,HNX,20.00,"173,490,193","1,058.29 Tỷ","173,490,193"
Công ty Cổ phần Đầu tư IDJ Việt Nam,DCH,Bất động sản,8637,29/08/2006,28.80 Tỷ,73,0,23/04/2018,Upcom,11.50,"2,880,000",26.78 Tỷ,"2,880,000"
Công ty Cổ phần Địa chính Hà Nội,AMD,Bất động sản,8633,20/09/2007,"1,635.05 Tỷ",248,0,11/08/2014,Upcom,1.10,"163,504,874",179.86 Tỷ,"163,504,874"
Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,MH3,Bất động sản,8633,09/10/2007,240.00 Tỷ,68,0,06/03/2017,Upcom,11.60,"24,000,000",780.00 Tỷ,"24,000,000"
Công ty Cổ phần Khu công nghiệp Cao su Bình Long,CEO,Bất động sản,8633,29/03/2007,"5,404.06 Tỷ",118,0,29/09/2014,HNX,11.60,"540,406,432","7,619.73 Tỷ","540,406,432"
Công ty Cổ phần Tập đoàn C.E.O,IJC,Bất động sản,8633,02/07/2007,"3,777.48 Tỷ",743,0,19/04/2010,HOSE,36.00,"377,748,384","5,080.72 Tỷ","377,748,384"
Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,HDC,Bất động sản,8633,28/12/2001,"1,783.55 Tỷ",238,0,08/10/2007,HOSE,84.00,"178,354,966","4,583.72 Tỷ","178,354,966"
Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,HDG,Bất động sản,8633,11/04/2005,"3,363.32 Tỷ",746,0,02/02/2010,HOSE,103.00,"336,331,529","9,703.16 Tỷ","336,331,529"
Công ty Cổ phần Tập đoàn Hà Đô,KAC,Bất động sản,8633,01/02/2002,240.00 Tỷ,200,0,27/10/2010,Upcom,14.70,"23,999,999",504.00 Tỷ,"23,999,999"
Công ty Cổ phần Đầu tư Địa ốc Khang An,CRE,Bất động sản,8633,20/08/2001,"4,636.79 Tỷ","2,011",0,05/09/2018,HOSE,50.00,"463,678,534","3,157.65 Tỷ","463,678,426"
Công ty Cổ phần Bất động sản Thế Kỷ,KDH,Bất động sản,8633,02/05/2007,"10,111.43 Tỷ",258,0,01/02/2010,HOSE,48.00,"1,011,142,565","33,216.03 Tỷ","1,011,142,565"
Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,HD8,Bất động sản,8633,02/08/2007,100.00 Tỷ,21,0,15/03/2019,Upcom,12.90,"10,000,000",82.00 Tỷ,"10,000,000"
Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD8,KHG,Bất động sản,8633,24/07/2009,"4,494.35 Tỷ","3,906",0,19/07/2021,HOSE,14.10,"449,435,205","2,516.84 Tỷ","449,435,205"
Công ty Cổ phần Tập đoàn Khải Hoàn Land,LSG,Bất động sản,8633,16/11/2007,900.00 Tỷ,24,0,12/05/2022,Upcom,11.00,"90,000,000",935.91 Tỷ,"90,000,000"
Công ty Cổ phần Bất động sản Sài Gòn Vi na,KOS,Bất động sản,8633,10/03/2008,"2,164.81 Tỷ",85,0,08/12/2017,HOSE,23.20,"216,481,335","8,388.65 Tỷ","216,481,335"
Công ty Cổ phần KOSY,LHG,Bất động sản,8633,23/05/2006,500.12 Tỷ,139,0,23/03/2010,HOSE,48.00,"50,012,010","1,802.93 Tỷ","50,012,010"
Công ty Cổ phần Long Hậu,ITC,Bất động sản,8633,18/02/2000,963.75 Tỷ,781,0,19/10/2009,HOSE,66.00,"96,375,409","1,007.32 Tỷ","95,935,049"
Công ty Cổ phần Đầu tư - Kinh doanh nhà,KBC,Bất động sản,8633,27/03/2002,"7,676.05 Tỷ",217,0,18/12/2009,HOSE,161.30,"767,604,759","21,492.93 Tỷ","767,604,759"
Tổng Công ty Phát triển Đô thị Kinh Bắc,MA1,Bất động sản,8633,14/09/2005,52.90 Tỷ,33,0,29/06/2020,Upcom,31.00,"5,289,715",341.48 Tỷ,"5,289,715"
Công ty Cổ phần Thiết bị,ITA,Bất động sản,8633,15/07/2002,"9,384.64 Tỷ",340,0,15/11/2006,HOSE,54.00,"938,463,607","2,205.06 Tỷ","938,321,575"
Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,HD6,Bất động sản,8633,02/12/2005,151.20 Tỷ,40,0,23/11/2020,Upcom,12.60,"15,120,000",212.42 Tỷ,"15,120,000"
Công ty Cổ phần Đầu tư và Phát triển nhà số 6 Hà Nội,DTA,Bất động sản,8633,10/10/2003,180.60 Tỷ,40,0,16/07/2010,HOSE,30.00,"18,059,832",75.85 Tỷ,"18,059,832"
Công ty Cổ phần Đệ Tam,CKG,Bất động sản,8633,26/04/2013,952.59 Tỷ,222,0,25/03/2020,HOSE,11.00,"95,259,361","2,190.97 Tỷ","95,259,361"
Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,HPX,Bất động sản,8633,15/12/2003,"3,041.69 Tỷ",105,0,24/07/2018,HOSE,26.80,"304,168,581","1,456.97 Tỷ","304,168,581"
Công ty Cổ phần Đầu tư Hải Phát,LGL,Bất động sản,8633,08/10/2001,515.00 Tỷ,42,0,08/10/2009,HOSE,0.00,"51,500,000",126.68 Tỷ,"51,497,100"
Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,FID,Bất động sản,8637,03/08/2010,247.16 Tỷ,205,0,20/05/2015,HNX,11.50,"24,715,958",32.13 Tỷ,"24,715,958"
Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,NBB,Bất động sản,8633,04/07/2005,"1,004.76 Tỷ",152,0,18/02/2009,HOSE,27.00,"100,475,656","2,403.84 Tỷ","100,159,795"
Công ty Cổ phần Đầu tư Năm Bảy Bảy,NDN,Bất động sản,8633,05/01/1992,716.58 Tỷ,21,0,21/04/2011,HNX,18.00,"71,657,936",616.26 Tỷ,"71,657,936"
Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,NRC,Bất động sản,8633,19/03/2014,925.98 Tỷ,84,0,05/04/2018,HNX,21.00,"92,597,762",388.91 Tỷ,"92,597,762"
Công ty Cổ phần Tập đoàn Danh Khôi,NLG,Bất động sản,8633,27/12/2005,"3,847.77 Tỷ",842,0,08/04/2013,HOSE,27.00,"384,777,471","14,198.29 Tỷ","384,777,471"
Công ty Cổ phần Đầu tư Nam Long,EFI,Bất động sản,8633,03/12/2007,108.80 Tỷ,5,0,30/09/2009,Upcom,15.00,"10,880,000",15.23 Tỷ,"10,880,000"
Công ty Cổ phần Đầu tư Tài chính Giáo dục,NTB,Bất động sản,8633,01/01/1999,397.80 Tỷ,2,0,17/05/2010,Upcom,0.00,"39,779,577",15.91 Tỷ,"39,779,577"
Công ty Cổ phần Đầu tư Xây dựng và Khai thác Công trình giao thông 584,NTL,Bất động sản,8633,16/06/2004,"1,219.80 Tỷ",101,0,21/12/2007,HOSE,225.00,"121,979,900","2,195.64 Tỷ","121,979,900"
Công ty Cổ phần Phát triển Đô thị Từ Liêm,NVT,Bất động sản,8633,26/09/2006,905.00 Tỷ,545,0,07/05/2010,HOSE,0.00,"90,500,000",695.04 Tỷ,"90,500,000"
Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,NTC,Bất động sản,8633,21/02/2005,240.00 Tỷ,132,0,19/12/2016,Upcom,14.30,"23,999,980","4,896.64 Tỷ","23,999,980"
Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên,HRB,Bất động sản,8633,13/12/2006,63.38 Tỷ,21,0,06/11/2017,Upcom,25.70,"6,338,400",390.45 Tỷ,"6,338,400"
Công ty Cổ phần Harec Đầu tư và Thương Mại,PIV,Bất động sản,8637,29/01/2008,173.25 Tỷ,8,0,18/08/2010,Upcom,0.90,"17,324,942",48.51 Tỷ,"17,324,942"
Công ty Cổ phần PIV,PLA,Bất động sản,8633,05/09/2005,100.00 Tỷ,32,0,20/11/2017,Upcom,10.50,"10,000,000",42.00 Tỷ,"10,000,000"
Công ty Cổ phần Đầu tư và Dịch vụ hạ tầng Xăng dầu,PPI,Bất động sản,8633,27/12/2004,482.91 Tỷ,7,0,12/04/2010,Upcom,0.80,"48,290,629",19.32 Tỷ,"48,290,629"
Công ty Cổ phần Đầu tư và Phát triển dự án hạ tầng Thái Bình Dương,PTL,Bất động sản,8633,29/10/2007,"1,000.00 Tỷ",22,0,22/09/2010,HOSE,25.00,"100,000,000",280.78 Tỷ,"98,865,080"
Công ty Cổ phần Victory Capital,PDR,Bất động sản,8633,13/09/2004,"8,731.40 Tỷ",278,0,30/07/2010,HOSE,40.00,"873,140,083","17,812.06 Tỷ","873,140,083"
Công ty Cổ phần Phát triển Bất động sản Phát Đạt,DTD,Bất động sản,8633,07/05/2001,574.89 Tỷ,150,0,16/11/2017,HNX,12.00,"57,488,785","1,500.46 Tỷ","57,488,785"
Công ty Cổ phần Đầu tư Phát triển Thành Đạt,HLD,Bất động sản,8633,10/08/2007,200.00 Tỷ,45,0,26/03/2013,HNX,19.00,"20,000,000",578.00 Tỷ,"20,000,000"
Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,LDG,Bất động sản,8637,19/08/2010,"2,569.73 Tỷ",98,0,12/08/2015,HOSE,14.00,"256,972,585",471.42 Tỷ,"256,207,345"
Công ty Cổ phần Đầu tư LDG,HD2,Bất động sản,8633,01/10/2004,89.62 Tỷ,49,0,16/05/2016,Upcom,11.80,"8,962,353",160.21 Tỷ,"8,962,353"
Công ty Cổ phần Đầu tư phát triển nhà HUD2,PVL,Bất động sản,8633,04/10/2007,500.00 Tỷ,20,0,15/04/2010,Upcom,2.20,"50,000,000",195.00 Tỷ,"50,000,000"
Công ty Cổ phần Đầu tư Nhà Đất Việt,IDV,Bất động sản,8633,16/06/2003,358.58 Tỷ,96,0,01/06/2010,HNX,43.00,"35,858,385","1,441.51 Tỷ","35,858,385"
Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,PWA,Bất động sản,8633,25/08/2006,100.00 Tỷ,22,0,11/06/2019,Upcom,12.00,"10,000,000",34.44 Tỷ,"10,000,000"
Công ty Cổ phần Bất động sản dầu khí,PXA,Bất động sản,8633,25/02/2008,150.00 Tỷ,49,0,22/02/2011,Upcom,0.60,"15,000,000",18.00 Tỷ,"15,000,000"
Công ty Cổ phần Đầu tư và Thương mại Dầu khí Nghệ An,PXL,Bất động sản,8633,09/08/2007,827.22 Tỷ,22,0,09/12/2010,Upcom,18.00,"82,722,212","1,105.92 Tỷ","82,574,412"
Công ty Cổ phần Đầu tư Khu Công Nghiệp Dầu khí Long Sơn,IDC,Bất động sản,8633,10/06/2010,"3,300.00 Tỷ","1,112",0,24/11/2017,HNX,18.50,"329,999,929","17,754.00 Tỷ","329,999,929"
Tổng Công ty IDICO - CTCP,QCG,Bất động sản,8633,21/03/2007,"2,751.29 Tỷ",98,0,09/08/2010,HOSE,48.00,"275,129,310","3,274.04 Tỷ","275,129,141"
Công ty Cổ phần Quốc Cường Gia Lai,RCL,Bất động sản,8633,31/12/2003,138.59 Tỷ,28,0,14/06/2007,HNX,150.00,"13,858,714",160.76 Tỷ,"13,858,714"
Công ty Cổ phần Địa ốc Chợ Lớn,TBR,Bất động sản,8633,31/03/2004,80.60 Tỷ,37,0,20/07/2022,Upcom,29.00,"8,060,000",55.61 Tỷ,"8,060,000"
Công ty Cổ phần Địa ốc Tân Bình,SID,Bất động sản,8633,04/04/2007,"1,000.00 Tỷ",121,0,09/01/2017,Upcom,20.90,"100,000,000","1,210.00 Tỷ","100,000,000"
Công ty Cổ phần Đầu tư Phát triển Sài Gòn Co.op,SCR,Bất động sản,8633,29/03/2004,"3,956.62 Tỷ",309,0,18/11/2016,HOSE,9.14,"395,661,775","2,273.54 Tỷ","430,595,036"
Công ty Cổ phần Địa Ốc Sài Gòn Thương Tín,NVL,Bất động sản,8633,18/09/1992,"19,501.05 Tỷ",995,0,28/12/2016,HOSE,50.00,"1,950,104,538","20,476.10 Tỷ","1,950,104,538"
Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,TIG,Bất động sản,8633,27/07/2001,"1,936.06 Tỷ",412,0,08/10/2010,HNX,28.00,"193,606,205","2,613.68 Tỷ","193,606,205"
Công ty Cổ phần Tập đoàn Đầu tư Thăng Long,LMH,Bất động sản,8633,24/05/2012,256.30 Tỷ,7,0,12/10/2018,Upcom,0.70,"25,629,995",25.63 Tỷ,"25,629,995"
Công ty Cổ phần Quốc Tế Holding,SZC,Bất động sản,8633,26/06/2007,"1,799.86 Tỷ",259,0,15/01/2019,HOSE,12.50,"179,985,863","7,415.42 Tỷ","179,985,863"
