CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,17.54,DRH
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,4.92,FIR
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-0.02,FIR
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-0.05,FIR
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,4.85,FIR
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,1.01,FIR
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,FIR
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,5.86,FIR
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,"-1,059.68",BCM
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,215.89,BCM
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-589.28,BCM
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,"-1,433.07",BCM
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,"2,096.03",BCM
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,BCM
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,662.97,BCM
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,10.48,CCL
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,0.71,CCL
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-13.58,CCL
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-2.38,CCL
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,9.18,CCL
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,CCL
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,6.80,CCL
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,52.84,BVL
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-18.18,BVL
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-130.04,BVL
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-95.38,BVL
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,136.89,BVL
