CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,66.28,DTD
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,22.95,DTD
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,43.33,DTD
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,775,DTD
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,775,DTD
EBITDA,Q3 2024,116.00,DTD
Doanh Số,Q3 2024,10.81,HLD
Các Khoản Giảm Trừ,Q3 2024,0.00,HLD
Doanh Số Thuần,Q3 2024,10.81,HLD
Giá Vốn Hàng Bán,Q3 2024,-8.79,HLD
Lãi Gộp,Q3 2024,2.02,HLD
Thu Nhập Tài Chính,Q3 2024,0.09,HLD
Chi Phí Tài Chính,Q3 2024,-0.55,HLD
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,HLD
Chi Phí Bán Hàng,Q3 2024,-0.48,HLD
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-0.68,HLD
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,0.39,HLD
"Thu Nhập Khác, Ròng",Q3 2024,0.00,HLD
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,HLD
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,0.40,HLD
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-0.09,HLD
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,0.31,HLD
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,0.00,HLD
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,0.31,HLD
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,16,HLD
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,0,HLD
EBITDA,Q3 2024,0.85,HLD
Doanh Số,Q3 2024,16.54,LDG
Các Khoản Giảm Trừ,Q3 2024,-41.73,LDG
Doanh Số Thuần,Q3 2024,-25.19,LDG
Giá Vốn Hàng Bán,Q3 2024,0.39,LDG
Lãi Gộp,Q3 2024,-24.80,LDG
Thu Nhập Tài Chính,Q3 2024,0.00,LDG
Chi Phí Tài Chính,Q3 2024,-41.14,LDG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,LDG
Chi Phí Bán Hàng,Q3 2024,-1.33,LDG
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-7.65,LDG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,-74.92,LDG
"Thu Nhập Khác, Ròng",Q3 2024,-4.14,LDG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,LDG
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,-79.05,LDG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,1.99,LDG
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,-77.07,LDG
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,-0.00,LDG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,-77.07,LDG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,-301,LDG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,-301,LDG
EBITDA,Q3 2024,-31.70,LDG
Doanh Số,Q3 2024,26.23,IDV
Các Khoản Giảm Trừ,Q3 2024,0.00,IDV
Doanh Số Thuần,Q3 2024,26.23,IDV
Giá Vốn Hàng Bán,Q3 2024,-6.82,IDV
Lãi Gộp,Q3 2024,19.41,IDV
Thu Nhập Tài Chính,Q3 2024,11.72,IDV
Chi Phí Tài Chính,Q3 2024,-0.47,IDV
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,16.41,IDV
Chi Phí Bán Hàng,Q3 2024,-0.08,IDV
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-12.05,IDV
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,34.94,IDV
"Thu Nhập Khác, Ròng",Q3 2024,5.19,IDV
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,IDV
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,40.12,IDV
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-0.65,IDV
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,39.47,IDV
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,0.63,IDV
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,38.84,IDV
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,822,IDV
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,0,IDV
EBITDA,Q3 2024,11.93,IDV
Doanh Số,Q3 2024,1.69,PXL
Các Khoản Giảm Trừ,Q3 2024,0.00,PXL
Doanh Số Thuần,Q3 2024,1.69,PXL
Giá Vốn Hàng Bán,Q3 2024,-0.72,PXL
Lãi Gộp,Q3 2024,0.98,PXL
Thu Nhập Tài Chính,Q3 2024,2.03,PXL
Chi Phí Tài Chính,Q3 2024,0.00,PXL
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,PXL
Chi Phí Bán Hàng,Q3 2024,-0.04,PXL
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-2.97,PXL
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,-0.01,PXL
"Thu Nhập Khác, Ròng",Q3 2024,0.37,PXL
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,PXL
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,0.37,PXL
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-0.13,PXL
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,0.24,PXL
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,0.00,PXL
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,0.24,PXL
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,2,PXL
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,0,PXL
EBITDA,Q3 2024,-2.04,PXL
Doanh Số,Q3 2024,"2,275.54",IDC
Các Khoản Giảm Trừ,Q3 2024,-0.01,IDC
Doanh Số Thuần,Q3 2024,"2,275.53",IDC
Giá Vốn Hàng Bán,Q3 2024,"-1,482.21",IDC
Lãi Gộp,Q3 2024,793.32,IDC
Thu Nhập Tài Chính,Q3 2024,44.43,IDC
Chi Phí Tài Chính,Q3 2024,-34.40,IDC
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.20,IDC
Chi Phí Bán Hàng,Q3 2024,-27.44,IDC
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-61.01,IDC
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,715.10,IDC
"Thu Nhập Khác, Ròng",Q3 2024,1.54,IDC
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,IDC
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,716.65,IDC
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-142.30,IDC
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,574.35,IDC
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,63.33,IDC
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,511.01,IDC
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,1549,IDC
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,1549,IDC
EBITDA,Q3 2024,"1,045.28",IDC
Doanh Số,Q3 2024,178.29,QCG
Các Khoản Giảm Trừ,Q3 2024,0.00,QCG
Doanh Số Thuần,Q3 2024,178.29,QCG
Giá Vốn Hàng Bán,Q3 2024,-150.24,QCG
Lãi Gộp,Q3 2024,28.05,QCG
Thu Nhập Tài Chính,Q3 2024,0.16,QCG
Chi Phí Tài Chính,Q3 2024,-8.11,QCG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,-0.00,QCG
Chi Phí Bán Hàng,Q3 2024,-0.09,QCG
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-4.61,QCG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,15.40,QCG
"Thu Nhập Khác, Ròng",Q3 2024,13.06,QCG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,QCG
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,28.46,QCG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-3.08,QCG
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,25.38,QCG
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,-0.52,QCG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,25.90,QCG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,94,QCG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,0,QCG
EBITDA,Q3 2024,40.99,QCG
Doanh Số,Q3 2024,2.61,RCL
Các Khoản Giảm Trừ,Q3 2024,0.00,RCL
Doanh Số Thuần,Q3 2024,2.61,RCL
Giá Vốn Hàng Bán,Q3 2024,-0.82,RCL
Lãi Gộp,Q3 2024,1.79,RCL
Thu Nhập Tài Chính,Q3 2024,0.80,RCL
Chi Phí Tài Chính,Q3 2024,-0.08,RCL
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,RCL
Chi Phí Bán Hàng,Q3 2024,0.00,RCL
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-2.09,RCL
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,0.42,RCL
"Thu Nhập Khác, Ròng",Q3 2024,0.00,RCL
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,RCL
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,0.42,RCL
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-0.08,RCL
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,0.35,RCL
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,0.00,RCL
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,0.35,RCL
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,0,RCL
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,0,RCL
EBITDA,Q3 2024,-0.30,RCL
